ID1,ID2,Distance
1,2,0.0715554
1,3,0.00965173
1,4,0.0857554
1,5,0.0807752
1,6,0.0686733
1,7,0.11371
1,8,0.100732
1,9,0.0746395
1,10,0.0885204
1,11,0.0997443
1,12,0.0767502
1,13,0.0718078
1,14,0.104665
1,15,0.114693
1,16,0.0794136
1,17,0.0842984
1,18,0.102382
1,19,0.0882623
1,20,0.0895395
1,21,0.0890333
1,22,0.145089
1,23,0.14282
1,24,0.0682749
1,25,0.0779829
1,26,0.0890235
1,27,0.0749475
1,28,0.0746404
1,29,0.06707
1,30,0.132618
1,31,0.0719409
1,32,0.0668714
1,33,0.0737993
1,34,0.0729158
1,35,0.0768042
1,36,0.068153
1,37,0.0596339
1,38,0.138467
1,39,0.0685345
1,40,0.132735
1,41,0.0706354
1,42,0.112334
1,43,0.0729105
1,44,0.107514
1,45,0.076356
1,46,0.0775025
1,47,0.0903142
1,48,0.0897875
1,49,0.0751795
1,50,0.089264
1,51,0.0873991
1,52,0.0892769
1,53,0.0775656
1,54,0.0883212
1,55,0.095743
1,56,0.0821373
1,57,0.131937
1,58,0.14046
1,59,0.14503
1,60,0.0882272
1,61,0.143243
1,62,0.0621125
1,63,0.0585555
1,64,0.0630185
1,65,0.0859158
1,66,0.0605402
1,67,0.125314
1,68,0.0495625
1,69,0.0910892
1,70,0.0843618
1,71,0.0975314
1,72,0.093039
1,73,0.0633464
1,74,0.0792002
1,75,0.0685245
1,76,0.0573795
1,77,0.138703
1,78,0.0607413
1,79,0.111898
1,80,0.099783
1,81,0.0913478
1,82,0.130183
1,83,0.0694934
1,84,0.069883
1,85,0.0911534
1,86,0.119283
1,87,0.0750346
1,88,0.141742
1,89,0.14241
1,90,0.0623229
1,91,0.0858093
1,92,0.115287
1,93,0.0559294
1,94,0.129496
1,95,0.068134
1,96,0.0715534
1,97,0.0982291
2,3,0.0741946
2,4,0.0772485
2,5,0.0836867
2,6,0.0714127
2,7,0.100798
2,8,0.100798
2,9,0.0650621
2,10,0.0978782
2,11,0.101264
2,12,0.081668
2,13,0.0606346
2,14,0.108487
2,15,0.112706
2,16,0.0820091
2,17,0.0857353
2,18,0.103453
2,19,0.0827148
2,20,0.080811
2,21,0.0836577
2,22,0.129253
2,23,0.129252
2,24,0.0797427
2,25,0.0744281
2,26,0.086771
2,27,0.00255415
2,28,0.0607399
2,29,0.0844859
2,30,0.1307
2,31,0.0671596
2,32,0.0743437
2,33,0.0753576
2,34,0.0585446
2,35,0.0750152
2,36,0.0656536
2,37,0.0604611
2,38,0.132575
2,39,0.0605759
2,40,0.118099
2,41,0.0733177
2,42,0.115775
2,43,0.0702334
2,44,0.114818
2,45,0.0667424
2,46,0.0748067
2,47,0.0952114
2,48,0.0889293
2,49,0.0226196
2,50,0.081653
2,51,0.0852964
2,52,0.0953026
2,53,0.0729235
2,54,0.0739746
2,55,0.0929256
2,56,0.0706547
2,57,0.120412
2,58,0.136126
2,59,0.133477
2,60,0.0852964
2,61,0.133648
2,62,0.05849
2,63,0.0584664
2,64,0.0612314
2,65,0.0884303
2,66,0.0715595
2,67,0.129559
2,68,0.0549442
2,69,0.0977545
2,70,0.089929
2,71,0.0820467
2,72,0.0928251
2,73,0.0763499
2,74,0.0791391
2,75,0.0638428
2,76,0.0548528
2,77,0.127076
2,78,0.0581894
2,79,0.104874
2,80,0.101125
2,81,0.0981178
2,82,0.131897
2,83,0.0774184
2,84,0.0715977
2,85,0.0850572
2,86,0.111583
2,87,0.0744113
2,88,0.138492
2,89,0.135217
2,90,0.0667854
2,91,0.0847318
2,92,0.115189
2,93,0.0688385
2,94,0.130502
2,95,0.0807172
2,96,0.0867886
2,97,0.101596
3,4,0.0829691
3,5,0.0777769
3,6,0.0729873
3,7,0.111911
3,8,0.105986
3,9,0.0711384
3,10,0.087031
3,11,0.109406
3,12,0.0771098
3,13,0.0633087
3,14,0.101014
3,15,0.118285
3,16,0.0790502
3,17,0.0748927
3,18,0.0993724
3,19,0.0805839
3,20,0.0807356
3,21,0.0787537
3,22,0.133927
3,23,0.132259
3,24,0.0559931
3,25,0.0709364
3,26,0.0826799
3,27,0.0734245
3,28,0.0679828
3,29,0.0595492
3,30,0.123176
3,31,0.0758395
3,32,0.0704101
3,33,0.0772936
3,34,0.0649515
3,35,0.0789813
3,36,0.0681303
3,37,0.0633813
3,38,0.12856
3,39,0.0633648
3,40,0.121343
3,41,0.0782925
3,42,0.110235
3,43,0.0699623
3,44,0.10402
3,45,0.0681457
3,46,0.079723
3,47,0.0835234
3,48,0.0887737
3,49,0.0745274
3,50,0.0825899
3,51,0.0881818
3,52,0.0828168
3,53,0.0797921
3,54,0.0772183
3,55,0.0939803
3,56,0.0777142
3,57,0.124899
3,58,0.133229
3,59,0.13089
3,60,0.0889898
3,61,0.13044
3,62,0.0623532
3,63,0.0597778
3,64,0.0632237
3,65,0.0861841
3,66,0.0625491
3,67,0.124051
3,68,0.046326
3,69,0.0849304
3,70,0.0780598
3,71,0.0854254
3,72,0.0917519
3,73,0.0598067
3,74,0.0827527
3,75,0.0636616
3,76,0.0561776
3,77,0.124471
3,78,0.061868
3,79,0.100842
3,80,0.0972372
3,81,0.0876628
3,82,0.128668
3,83,0.0694478
3,84,0.0655058
3,85,0.0795688
3,86,0.119091
3,87,0.0695489
3,88,0.140817
3,89,0.136091
3,90,0.0634738
3,91,0.0845531
3,92,0.112657
3,93,0.0523592
3,94,0.129343
3,95,0.0657459
3,96,0.0714937
3,97,0.0956094
4,5,0.0423259
4,6,0.086685
4,7,0.118925
4,8,0.104278
4,9,0.0752095
4,10,0.0650228
4,11,0.0707173
4,12,0.0626599
4,13,0.0752363
4,14,0.0891249
4,15,0.103389
4,16,0.0512588
4,17,0.0465615
4,18,0.0779375
4,19,0.0629595
4,20,0.0555372
4,21,0.0492692
4,22,0.115709
4,23,0.118867
4,24,0.0841309
4,25,0.0610673
4,26,0.0483167
4,27,0.0840297
4,28,0.07112
4,29,0.0864867
4,30,0.129266
4,31,0.0679595
4,32,0.0684939
4,33,0.0677628
4,34,0.0693766
4,35,0.0696475
4,36,0.064861
4,37,0.0720985
4,38,0.133369
4,39,0.0698975
4,40,0.120944
4,41,0.0668859
4,42,0.0994935
4,43,0.0858137
4,44,0.093376
4,45,0.0890034
4,46,0.0704365
4,47,0.0480899
4,48,0.0564688
4,49,0.0798266
4,50,0.0888834
4,51,0.0628251
4,52,0.0482128
4,53,0.0695057
4,54,0.0841412
4,55,0.0784673
4,56,0.0475638
4,57,0.114517
4,58,0.128657
4,59,0.129457
4,60,0.0636222
4,61,0.127264
4,62,0.0648159
4,63,0.0648241
4,64,0.0675329
4,65,0.0577826
4,66,0.0756766
4,67,0.108724
4,68,0.065018
4,69,0.0878565
4,70,0.0517829
4,71,0.0516237
4,72,0.0652023
4,73,0.0672405
4,74,0.0501781
4,75,0.0759547
4,76,0.0619553
4,77,0.125525
4,78,0.0654388
4,79,0.120422
4,80,0.0846436
4,81,0.054902
4,82,0.123575
4,83,0.0682028
4,84,0.0754921
4,85,0.0745947
4,86,0.103047
4,87,0.0797911
4,88,0.119201
4,89,0.128658
4,90,0.0777197
4,91,0.073128
4,92,0.101892
4,93,0.0572839
4,94,0.115546
4,95,0.061389
4,96,0.0648458
4,97,0.0956139
5,6,0.0806316
5,7,0.119774
5,8,0.108182
5,9,0.0720002
5,10,0.0604514
5,11,0.0825434
5,12,0.061808
5,13,0.0743317
5,14,0.0856663
5,15,0.099546
5,16,0.0611415
5,17,0.058937
5,18,0.0754517
5,19,0.0691382
5,20,0.0592771
5,21,0.0572799
5,22,0.116117
5,23,0.122988
5,24,0.0745899
5,25,0.0647189
5,26,0.0577863
5,27,0.0866004
5,28,0.0728821
5,29,0.0790011
5,30,0.116337
5,31,0.0690962
5,32,0.0687058
5,33,0.0664555
5,34,0.0705116
5,35,0.0688358
5,36,0.0765571
5,37,0.0688776
5,38,0.119326
5,39,0.0742007
5,40,0.121291
5,41,0.06697
5,42,0.0970434
5,43,0.0924015
5,44,0.0908078
5,45,0.0917961
5,46,0.070518
5,47,0.0509095
5,48,0.0657728
5,49,0.078866
5,50,0.0833159
5,51,0.0700838
5,52,0.0533046
5,53,0.0687268
5,54,0.0888227
5,55,0.0931999
5,56,0.0276899
5,57,0.111015
5,58,0.131326
5,59,0.127069
5,60,0.0708798
5,61,0.124636
5,62,0.0668594
5,63,0.0650932
5,64,0.0695783
5,65,0.0582963
5,66,0.0723231
5,67,0.10988
5,68,0.0702301
5,69,0.0843199
5,70,0.0612724
5,71,0.0597478
